Title="convergence analysis file of T3 element when h = 1/2"
Variables="X"   "Y"   "U"   "V"
Zone N=33 E=40 F=FEPOINT ET=TRIANGLE
10                   1          0.00160105         -0.00797235
9                   1          0.00143721          -0.0064762
8                   1          0.00127878         -0.00511973
7                   1          0.00111962         -0.00392008
6                   1         0.000959899         -0.00288005
5                   1         0.000799976         -0.00200002
4                   1         0.000639995            -0.00128
3                   1         0.000479999        -0.000720001
2                   1             0.00032            -0.00032
1                   1             0.00016        -8.00001e-05
0                   1                   0                   0
10                   0         5.35679e-06         -0.00800364
9                   0         3.64145e-06         -0.00648028
8                   0         1.23651e-06         -0.00512009
7                   0         3.41418e-07         -0.00392003
6                   0         8.31291e-08         -0.00288001
5                   0         1.81943e-08              -0.002
4                   0         3.54834e-09            -0.00128
3                   0         5.89108e-10            -0.00072
2                   0         7.02115e-11            -0.00032
1                   0        -3.50355e-13              -8e-05
0                   0                   0                   0
10                  -1         -0.00161176         -0.00803637
9                  -1         -0.00144449         -0.00648473
8                  -1         -0.00128125         -0.00511985
7                  -1          -0.0011203         -0.00391967
6                  -1        -0.000960065         -0.00287986
5                  -1        -0.000800012         -0.00199996
4                  -1        -0.000640002         -0.00127999
3                  -1            -0.00048        -0.000719997
2                  -1            -0.00032        -0.000319999
1                  -1            -0.00016        -7.99999e-05
0                  -1                   0                   0
1                   2                  13
13                  12                   1
2                   3                  14
14                  13                   2
3                   4                  15
15                  14                   3
4                   5                  16
16                  15                   4
5                   6                  17
17                  16                   5
6                   7                  18
18                  17                   6
7                   8                  19
19                  18                   7
8                   9                  20
20                  19                   8
9                  10                  21
21                  20                   9
10                  11                  22
22                  21                  10
12                  13                  24
24                  23                  12
13                  14                  25
25                  24                  13
14                  15                  26
26                  25                  14
15                  16                  27
27                  26                  15
16                  17                  28
28                  27                  16
17                  18                  29
29                  28                  17
18                  19                  30
30                  29                  18
19                  20                  31
31                  30                  19
20                  21                  32
32                  31                  20
21                  22                  33
33                  32                  21
